City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
172,queenstown,-31.8976,26.8753,17.73,91,0,1.22,ZA,1732491809
173,bikenibeu village,1.3673,173.1241,29.98,74,20,5.66,KI,1732491809
174,cedeira,43.6797,-8.0209,11.1,100,100,3.16,ES,1732491809
175,tura,25.5198,90.2201,15.07,90,17,1.83,IN,1732491809
176,nishinoomote,30.7333,131.0,17.04,63,54,8.63,JP,1732491809
177,ghanzi,-21.5667,21.7833,21.53,57,47,3.15,BW,1732491809
178,yeed,4.55,43.0333,29.78,39,89,2.33,SO,1732491810
179,mount pearl,47.5166,-52.7813,6.36,98,75,9.77,CA,1732491776
180,hadibu,12.65,54.0333,25.01,78,19,3.11,YE,1732491810
181,tiksi,71.6872,128.8694,-22.43,91,81,6.22,RU,1732491810
182,darab,28.7519,54.5444,14.73,32,66,0.99,IR,1732491810
183,bardai,11.65,7.2333,18.03,24,8,4.06,NG,1732491810
184,codrington,-38.2667,141.9667,19.17,72,100,3.84,AU,1732491810
185,coahuayana de hidalgo,18.7,-103.6583,25.91,78,27,1.44,MX,1732491811
186,mejit,10.2753,170.8646,27.88,81,67,7.93,MH,1732491811
187,magnolia,33.2671,-93.2393,20.49,68,35,1.79,US,1732491811
188,kavieng,-2.5744,150.7967,28.8,76,94,4.26,PG,1732491811
189,utrik,11.2278,169.8474,27.9,81,30,8.05,MH,1732491811
190,jinjing,24.575,118.5972,18.41,79,78,4.81,CN,1732491811
191,ulsteinvik,62.3432,5.8487,8.5,77,45,6.56,NO,1732491796
192,kailua-kona,19.6406,-155.9956,26.42,74,100,3.6,US,1732491812
193,mao,39.8885,4.2658,17.31,82,0,4.63,ES,1732491812
194,puerto baquerizo moreno,-0.9,-89.6,22.04,73,47,5.01,EC,1732491812
195,tonk,26.1667,75.7833,17.17,41,24,2.02,IN,1732491812
196,ambon,-3.6954,128.1814,30.69,100,20,1.03,ID,1732491812
197,bredasdorp,-34.5322,20.0403,18.18,84,100,0.95,ZA,1732491812
